,Customers,Sales_Amount,Transaction,Avg_Transaction_Value,DaysSinceLastPurchase,Recency,Frequency,Monetary,Segment
276,02749b2c-4df1-4519-a188-353b2b8b7502,791.000000000003,14,56.50000000000021,3,1,1,1,Best Customers
277,0279046b-cf3f-4852-8020-354ff283516d,19.8,2,9.9,42,2,2,2,Lappsed
278,027ddcc6-0508-4456-98fc-352969975c99,4.35,1,4.35,27,2,3,3,Lappsed
279,0280b23f-4616-41fd-8c4e-356f92ec565c,9.05,1,9.05,94,3,3,2,Inactive Accounts
280,0283ad89-de54-49c9-9ebf-35784b31c6c2,4.35,1,4.35,50,2,3,3,Lappsed
281,0283d957-492b-4c72-b44d-3537cb88fbf4,352.3499999999995,9,39.14999999999995,8,1,1,1,Best Customers
282,02854895-2aae-415b-a2a8-357ebd242f2b,3.95,1,3.95,17,1,3,3,Recent low value
283,0289b33e-7270-4c22-a3f3-357445aa4740,218.9999999999999,6,36.49999999999998,5,1,1,1,Best Customers
284,028c6029-46ca-4c3e-b602-35573869ce56,5.35,1,5.35,104,3,3,3,Inactive Accounts
285,028dc88b-6f5a-43ce-9b02-357098e6b6c3,994.8000000000002,12,82.90000000000002,4,1,1,1,Best Customers
286,02920c68-2a4a-4392-a482-357eb3d4e11a,3.75,1,3.75,5,1,3,3,Recent low value
287,02966472-a2b1-44c0-92f0-3565fe4460ab,26.7,3,8.9,40,2,2,2,Lappsed
288,02967724-08e6-4f39-815a-35420ff120a0,2281.5999999999885,23,99.1999999999995,5,1,1,1,Best Customers
289,0296a805-3dd2-4873-bcf8-3532e18982a1,4.35,1,4.35,21,1,3,3,Recent low value
290,0297aaf3-bea9-4b48-9089-3538c8c8a2d2,15.8,2,7.9,80,3,2,3,Inactive Accounts
291,02999b3c-2439-4cd4-bd1e-3559f3d22f11,6.0,1,6.0,63,2,3,3,Lappsed
292,029a4426-73d1-42b7-b124-352c10f13962,3.95,1,3.95,21,1,3,3,Recent low value
293,029ac592-c5c9-4702-b83e-3569526baea6,2156.2499999999964,23,93.74999999999984,16,1,1,1,Best Customers
294,02a06bcc-ba6f-40cc-9c21-357b001e0b00,36.75000000000001,3,12.250000000000002,20,1,2,2,Recent low value
295,02a318f0-93df-45a6-a176-3567c3da8eac,107.2,4,26.8,82,3,2,1,Inactive Accounts
296,02a984ea-27d7-4fb6-ad86-352f5b1dd27d,5.7,1,5.7,98,3,3,3,Inactive Accounts
297,02aa4d9e-96ba-47e6-80bd-3555e331127b,1979.2499999999966,21,94.24999999999984,7,1,1,1,Best Customers
298,02aa7bda-5111-4b82-b9f2-3561e2fa0198,3.95,1,3.95,100,3,3,3,Inactive Accounts
299,02ab503b-4c26-4617-b397-35328a7cb214,118.25000000000006,5,23.650000000000013,24,2,1,1,Big spenders
300,02ae8ff3-b065-491b-92ed-35630c8c3e47,188.34000000000003,6,31.390000000000004,5,1,1,1,Best Customers
301,02b5059a-eb8d-48e4-aa08-3580923612b0,70.75000000000001,5,14.150000000000002,3,1,1,2,Loyal Customers
302,02b62ed7-2b06-484f-bf22-357cef223b5b,11.0,1,11.0,20,1,3,2,Recent low value
303,02b8d0c9-9e81-471b-ae33-3565008b7917,74.60000000000001,4,18.650000000000002,115,3,2,2,Inactive Accounts
